wavelengths,emissivity
832,1273.65
833,1260.39
834,1270.84
835,1281.93
836,1254.53
837,1247.84
838,1249.51
839,1260.04
840,1243.44
841,1249.98
842,1224.71
843,1239.67
844,1230.68
845,1244.31
846,1228.5
847,1224.13
848,1217.8
849,1215.02
850,1212.63
851,1193.44
852,1206.09
853,1205.11
854,1190.67
855,1201.64
856,1187.66
857,1190.44
858,1186.87
859,1182.22
860,1180.68
861,1159.64
862,1184.85
863,1157.43
864,1157.71
865,1144.3
866,1146.31
867,1143.51
868,1127.79
869,1135.35
870,1117.76
871,1095.51
872,1097.13
873,1095.81
874,1109.45
875,1100.22
876,1105.04
877,1102
878,1092.13
879,1122.64
880,1072.22
881,1108.44
882,1113.23
883,1122.16
884,1124.43
885,1134.66
886,1129.47
887,1132.87
888,1158.97
889,1138.29
890,1148.51
891,1149.36
892,1142.14
893,1154.01
894,1164.95
895,1164.96
896,1117.37
897,1152.49
898,1166.28
899,1141.04
900,1128.99
901,1142.91
902,1143.68
903,1150.51
904,1132.68
905,1134.26
906,1129.77
907,1114.11
908,1108.53
909,1094.71
910,1071.94
911,1105.13
912,1076.01
913,1067.59
914,1052.73
915,1049.22
916,1058.1
917,1035.61
918,1019.59
919,1015.8
920,986.82
921,982.17
922,993.36
923,976.85
924,952.8
925,952.66
926,948.87
927,925.8
928,931.75
929,920.76
930,924.45
931,902.19
932,892.57
933,863.3
934,858.94
935,847.48
936,846.19
937,831.68
938,824.38
939,821.8
940,814.16
941,802.03
942,776.58
943,780.65
944,770.97
945,751.69
946,739.61
947,740.25
948,726.63
949,723.71
950,700.46
951,689.1
952,694
953,679.42
954,677.69
955,666.54
956,654.26
957,646.42
958,633.76
959,629.41
960,630.08
961,604.87
962,605.56
963,596.3
964,587.76
965,577.35
966,564.21
967,554.37
968,542.8
969,550.41
970,521.26
971,515.78
972,514.98
973,506.54
974,495.56
975,481.1
976,467.31
977,462.21
978,452.38
979,440.8
980,434.42
981,442.85
982,435.38
983,422.31
984,422.06
985,404.93
986,408.67
987,383.77
988,383.43
989,369.64
990,360.3
991,362.34
992,341.27
993,338.09
994,337.58
995,331.07
996,320.08
997,312.96
998,311.43
999,286.74
1000,297.66
